url,property_id,property_type,locality_name,postal_code,build_year,state,living_area,furnished,number_rooms,equipped_kitchen,terrace,facades,garden,garden_area,swimming_pool,price
https://immovlan.be/en/detail/residence/for-sale/9402/meerbeke/rbu64973,rbu64973,Residence,Meerbeke,9402,1935,To be renovated,113,0,2,None,1,3,0,None,0,220 000 €
https://immovlan.be/en/projectdetail/1380834-6700164,1380834-6700164,None,Aywaille,4920,None,None,None,None,None,None,None,None,0,None,0,265 000 € - 299 000 €
https://immovlan.be/en/detail/studio/for-sale/5000/namur/vbd46816,vbd46816,Studio,Namur,5000,1968,Excellent,36,0,1,None,0,2,0,None,0,115 000 €
https://immovlan.be/en/projectdetail/1383956-01249060_om_3712,1383956-01249060_om_3712,None,Eernegem,8480,None,None,None,None,None,None,None,None,0,None,0,215 000 € - 335 000 €
https://immovlan.be/en/detail/residence/for-sale/9402/meerbeke/rbu65839,rbu65839,Residence,Meerbeke,9402,1918,Excellent,219,None,3,1,1,2,1,None,0,379 000 €
https://immovlan.be/en/detail/studio/for-sale/5030/gembloux/vwd14722,vwd14722,Studio,Gembloux,5030,None,Excellent,35,None,0,1,1,1,1,None,0,68 000 €
https://immovlan.be/en/projectdetail/1383956-01249060_om_3952,1383956-01249060_om_3952,None,Eernegem,8480,None,None,None,None,None,None,None,None,0,None,0,355 000 €
https://immovlan.be/en/detail/studio/for-sale/5100/jambes/vbc56231,vbc56231,Studio,Jambes,5100,2026,New,55,0,None,1,1,None,0,None,0,190 000 €
https://immovlan.be/en/detail/residence/for-sale/9406/outer/rbu66304,rbu66304,None,None,None,None,None,None,None,None,None,None,None,0,None,0,None
https://immovlan.be/en/projectdetail/1383956-01249060_om_4076,1383956-01249060_om_4076,None,Eernegem,8480,None,None,None,None,None,None,None,None,0,None,0,336 000 € - 397 500 €
https://immovlan.be/en/detail/studio/for-sale/5500/dinant/vbd33758,vbd33758,Studio,Dinant,5500,None,None,40,0,1,None,0,None,0,None,0,Make offer from 98 000 €
https://immovlan.be/en/detail/residence/for-sale/9420/erondegem/rbu60214,rbu60214,None,None,None,None,None,None,None,None,None,None,None,0,None,0,None
https://immovlan.be/en/projectdetail/1383956-01249060_om_4194,1383956-01249060_om_4194,None,Ichtegem,8480,None,None,None,None,None,None,None,None,0,None,0,29 950 € - 285 000 €
