url,property_id,property_type,locality_name,postal_code,build_year,state,living_area,furnished,number_rooms,equipped_kitchen,terrace,facades,garden,garden_area,swimming_pool,price
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd45938,vbd45938,Apartment,Namur,5000,None,Excellent,126,0,2,None,0,2,0,None,0,355 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu36384,rbu36384,Apartment,Tongeren,3700,1976,None,83,None,2,None,1,None,0,None,0,249 000 €
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rbi11396,rbi11396,Apartment,Wenduine,8420,2024,New,None,1,1,None,1,None,0,None,0,253 500 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbk04058,rbk04058,Apartment,Middelkerke,8430,1968,To be renovated,62,0,2,1,0,3,0,None,0,310 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu46928,rbu46928,Apartment,Tongeren,3700,1977,None,None,None,2,None,1,None,0,None,0,198 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd45972,vbd45972,Apartment,Namur,5000,None,None,55,None,1,1,None,None,0,None,0,185 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbr91377,rbr91377,Apartment,Middelkerke,8430,1971,Normal,63,1,2,1,1,None,0,None,0,340 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58274,rbu58274,Apartment,Tongeren,3700,1972,To be renovated,102,None,2,None,0,None,0,None,0,180 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd46324,vbd46324,Apartment,Namur,5000,None,Excellent,111,0,2,None,0,2,0,None,0,295 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbs28007,rbs28007,Apartment,Middelkerke,8430,1977,Normal,84,1,2,1,1,None,0,None,0,420 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58277,rbu58277,Apartment,Tongeren,3700,2023,New,None,None,1,None,1,None,1,None,0,189 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd46440,vbd46440,Apartment,Namur,5000,None,Excellent,65,0,1,None,1,None,0,None,0,209 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58278,rbu58278,Apartment,Tongeren,3700,2023,New,None,None,3,None,1,None,1,None,0,325 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbt29590,rbt29590,Apartment,Middelkerke,8430,1961,None,70,1,2,None,1,None,0,None,0,275 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd46949,vbd46949,Apartment,Namur,5000,None,None,45,None,1,None,1,None,0,None,0,125 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58279,rbu58279,Apartment,Tongeren,3700,2023,New,None,None,1,None,1,None,1,None,0,179 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbt72003,rbt72003,Apartment,Middelkerke,8430,1982,Normal,86,0,2,None,1,None,0,None,0,475 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd46974,vbd46974,Apartment,Namur,5000,None,To be renovated,101,None,2,None,1,2,0,None,0,Make offer from 235 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58280,rbu58280,Apartment,Tongeren,3700,2023,New,None,None,1,None,1,None,1,None,0,189 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd47419,vbd47419,Apartment,Namur,5000,1972,To be renovated,127,0,3,1,1,3,0,None,0,385 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbt86829,rbt86829,Apartment,Middelkerke,8430,1964,Normal,81,0,2,None,1,2,0,None,0,299 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu00498,rbu00498,Apartment,Middelkerke,8430,1989,Normal,68,0,2,None,1,None,0,None,0,325 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58281,rbu58281,Apartment,Tongeren,3700,2023,None,None,None,3,None,1,None,1,None,0,299 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd47646,vbd47646,Apartment,Namur,5000,1930,Normal,91,None,1,None,0,2,1,240,0,210 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu06793,rbu06793,Apartment,Middelkerke,8430,1972,Normal,41,1,1,None,1,None,0,None,0,159 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58284,rbu58284,Apartment,Tongeren,3700,1970,To be renovated,187,None,3,None,1,2,0,None,0,310 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu25116,rbu25116,Apartment,Middelkerke,8430,2003,Normal,65,1,2,None,1,3,0,None,0,230 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58305,rbu58305,Apartment,Tongeren,3700,2007,Excellent,166,None,2,None,1,2,0,None,0,249 500 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd48272,vbd48272,Apartment,Namur,5000,1947,Fully renovated,92,0,2,None,1,2,0,None,0,270 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu30737,rbu30737,Apartment,Middelkerke,8430,1978,Normal,60,1,1,None,1,None,0,None,0,349 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58324,rbu58324,Apartment,Tongeren,3700,2005,Excellent,87,None,2,None,1,2,0,None,0,225 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vwd14838,vwd14838,Apartment,Namur,5000,1970,Excellent,120,None,3,None,1,3,0,None,0,440 000 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58326,rbu58326,Apartment,Tongeren,3700,1968,None,98,None,2,None,1,2,0,None,0,195 000 €
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vwd15077,vwd15077,Apartment,Namur,5000,None,None,89,None,3,None,None,3,0,None,0,209 000 €
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu47915,rbu47915,Apartment,Middelkerke,8430,1973,Normal,65,1,2,None,1,None,0,None,0,255 000 €
https://immovlan.be/en/detail/apartment/for-sale/5001/belgrade/vbd20800,vbd20800,Apartment,Belgrade,5001,2023,New,83,0,2,1,1,None,1,137,0,299 256 €
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58327,rbu58327,Apartment,Tongeren,3700,1930,To be renovated,106,None,2,None,1,3,0,None,0,225 000 €
